run,phase,preset,probe,mask,seed_key,passes,width,height,warmup_passes,measured_passes,native_render_seconds,ms_per_pass,estimated_total_render_ms,launch_seconds_diagnostic_only,display_gpu,binary_sha256,config_sha256,film_sha256
beauty-p80,beauty,80,-1,3976,0,4096,640,400,8,4088,125.60098829999991,30.724312206457903,125846.78279765157,128.92731299999286,NVIDIA GeForce RTX 4080 Laptop GPU/PCIe/SSE2,08cbcb4555bd6df102e797b7c9d65460be0db21562fd33c6db4785c972d2901e,2a6773eb58aa0c501b20c141960ecd30505b0f789838ea45f261d8bc670db2a2,d2e9f5ef12a046262de28a0804823339bd73d436f216b364796930c4e7d15124
beauty-p81,beauty,81,-1,3976,0,4096,640,400,8,4088,131.51163780000016,32.17016580234838,131768.99912641896,135.04039249999914,NVIDIA GeForce RTX 4080 Laptop GPU/PCIe/SSE2,08cbcb4555bd6df102e797b7c9d65460be0db21562fd33c6db4785c972d2901e,ced78da1ac56153505e40f6ed7e1b1a63e6e4cb2734639e4e4e4563fb5650638,30bd8aeae7195f3a1e54beb7775f45a2365e826d41a8d1bcd3486692a70cb59d
beauty-p82,beauty,82,-1,3976,0,4096,640,400,8,4088,175.5907491,42.95272727495108,175934.37091819962,179.0058066000056,NVIDIA GeForce RTX 4080 Laptop GPU/PCIe/SSE2,08cbcb4555bd6df102e797b7c9d65460be0db21562fd33c6db4785c972d2901e,f370b06387b29b5d146c77d7da56002bc673a083c350c5fdb9589f68a9905c66,883aa29c0e9611f49c86aca2ae05fb808c54d0ac685f5eca58ad10f2d6551a4e
composite80-six-s0,measurement,80,-1,3976,0,1024,160,100,8,1016,2.009887899999999,1.978236122047243,2025.713788976377,2.511614799994277,NVIDIA GeForce RTX 4080 Laptop GPU/PCIe/SSE2,08cbcb4555bd6df102e797b7c9d65460be0db21562fd33c6db4785c972d2901e,1d9c39c7b0a6f33dc2ef2b86c321717615c18edabcad289a8fd5de1617e8d095,479b00489162c6f91601c751f838051b6135b5fd00cd414ac5be077ea9abff04
composite80-six-s1,measurement,80,-1,3976,1000003,1024,160,100,8,1016,2.2106213999999986,2.175808464566928,2228.0278677165343,2.723779399995692,NVIDIA GeForce RTX 4080 Laptop GPU/PCIe/SSE2,08cbcb4555bd6df102e797b7c9d65460be0db21562fd33c6db4785c972d2901e,794579d695af1231b6bb552f9c267fa872203314892ac864b387d15dacbbf9ec,ec0027fc0f63c683eb31af747e262afd06ceb8570964bd0e16ee5113104a5cb3
composite80-six-s2,measurement,80,-1,3976,2000006,1024,160,100,8,1016,2.0247167000000013,1.9928313976377965,2040.6593511811036,2.5359167999995407,NVIDIA GeForce RTX 4080 Laptop GPU/PCIe/SSE2,08cbcb4555bd6df102e797b7c9d65460be0db21562fd33c6db4785c972d2901e,6075e96fc552718fdb6d8f4872e21317342308a098e6086b439760d3c6598ce1,3eb61fbe53a2aa89465b91fd7cc1ab58f96206a72a571b5ad3dfd952bc2ca86d
composite80-six-s3,measurement,80,-1,3976,3000009,1024,160,100,8,1016,2.0266981000000004,1.9947815944881893,2042.6563527559058,2.5195507999887923,NVIDIA GeForce RTX 4080 Laptop GPU/PCIe/SSE2,08cbcb4555bd6df102e797b7c9d65460be0db21562fd33c6db4785c972d2901e,edcf0719150b8740d85e4f364124f195020f06214c0e4d1a766a6bb01a0604e9,013312c5dad6952e3ecf15164173f9fd3126e3ba0d2306a9fe1d1d688fdf295a
composite80-six-s4,measurement,80,-1,3976,4000012,1024,160,100,8,1016,2.3125151999999987,2.276097637795274,2330.7239811023605,2.8476515999936964,NVIDIA GeForce RTX 4080 Laptop GPU/PCIe/SSE2,08cbcb4555bd6df102e797b7c9d65460be0db21562fd33c6db4785c972d2901e,43a1290c2e8ad3ac965653929aad8e2ba6e0ffb90b087f182486a80b90e50bf9,29c0314c7d5bad3358744ba9e6267378a321ee6dd478807f2809b819e5a2acc7
composite80-six-s5,measurement,80,-1,3976,5000015,1024,160,100,8,1016,2.044305699999997,2.0121119094488162,2060.402595275588,2.567197099997429,NVIDIA GeForce RTX 4080 Laptop GPU/PCIe/SSE2,08cbcb4555bd6df102e797b7c9d65460be0db21562fd33c6db4785c972d2901e,4e70ef5edab924e5cf8dc87bb98df2e0425dcdecfdad47d113e29959a1902a88,ae4a8283165c052aa99361ff96504e07b7b7f4b7386fd1af7f6e3c488f411d28
composite80-spins-s0,measurement,80,-1,896,0,1024,160,100,8,1016,1.0463970999999987,1.0299184055118098,1054.6364472440932,1.6095618999970611,NVIDIA GeForce RTX 4080 Laptop GPU/PCIe/SSE2,08cbcb4555bd6df102e797b7c9d65460be0db21562fd33c6db4785c972d2901e,4a42f4ce1678a8ce16bd56e3d488be5fd95e3892daa5eaaeb5901cd4d895b6af,9f6fe355f947ef391fe319e5dfdc11197cd66af9078ebd32f2212336075502bd
