condition,preset,probe,profile,edge,method,label,mask,member_draws_per_pass,passes,width,height,seed_count,seed_keys,normalized_seed_variance,per_pass_variance_proxy,variance_cost_proxy_ms,ms_per_pass_median,ms_per_pass_min,ms_per_pass_max,estimated_total_render_ms,mean_luminance,seed_luminance_sd,seed_luminance_min,seed_luminance_max,mean_rgb,energy_ratio_to_pooled_mean,pooled_signal_sum_rgb_squared,pooled_mean_luminance,binary_sha256
p80-all-n1024-160x100,80,-1,Composite,,uv,UV plane,8,1,1024,160,100,6,"[0, 1000003, 2000006, 3000009, 4000012, 5000015]",4.1128247258978465,4211.532519319395,2525.384540635037,0.5996355314960626,0.5613610236220471,0.6199574803149622,614.0267842519681,0.020921526693593595,0.0005105393963583206,0.020330004310592988,0.02155980290032875,"[0.02771687773116095, 0.018575673360012666, 0.024149541563264168]",1.0025841743850161,82.62828379169412,0.02086760117316517,08cbcb4555bd6df102e797b7c9d65460be0db21562fd33c6db4785c972d2901e
p80-all-n1024-160x100,80,-1,Composite,,spins,Sphere + disk + cone,896,3,1024,160,100,6,"[0, 1000003, 2000006, 3000009, 4000012, 5000015]",0.14398001246861292,147.43553276785963,144.57687242732442,0.9806107775590553,0.9267319881889761,1.1312430118110242,1004.1454362204727,0.020856664748092512,4.622025118118443e-05,0.020814843049440198,0.02094506662172285,"[0.027624835660506542, 0.018511235026176878, 0.024160517949404874]",0.9994759136432644,82.62828379169412,0.02086760117316517,08cbcb4555bd6df102e797b7c9d65460be0db21562fd33c6db4785c972d2901e
p80-all-n1024-160x100,80,-1,Composite,,uv-sphere,UV + sphere,136,2,1024,160,100,6,"[0, 1000003, 2000006, 3000009, 4000012, 5000015]",0.06023974965966523,61.68550365149719,53.483071124194176,0.8670281988188981,0.7969153543307093,0.9102148622047246,887.8368755905517,0.02086105263520294,5.713151819597446e-05,0.020819607524963223,0.020965351506001907,"[0.02767275791863353, 0.018505679396441935, 0.024135213259919203]",0.9996861863561658,82.62828379169412,0.02086760117316517,08cbcb4555bd6df102e797b7c9d65460be0db21562fd33c6db4785c972d2901e
p80-all-n1024-160x100,80,-1,Composite,,six,All six,3976,6,1024,160,100,6,"[0, 1000003, 2000006, 3000009, 4000012, 5000015]",0.0021479641656882062,2.199515305664723,4.406611795038998,2.003446751968503,1.978236122047243,2.276097637795274,2051.529474015747,0.020831160615771616,1.4948452916215793e-05,0.020817240817298917,0.02085543408176962,"[0.027608041171692625, 0.018485758048509056, 0.024109098426262694]",0.998253725615553,82.62828379169412,0.02086760117316517,08cbcb4555bd6df102e797b7c9d65460be0db21562fd33c6db4785c972d2901e
p81-all-n1024-160x100,81,-1,Composite,,uv,UV plane,8,1,1024,160,100,6,"[0, 1000003, 2000006, 3000009, 4000012, 5000015]",21.572610345033432,22090.352993314234,12751.757367892047,0.5772545767716539,0.5263455708661414,0.5932263779527561,591.1086866141736,0.01758978804295826,0.0011229764968893085,0.016278321288052625,0.01945173620272264,"[0.025797261716588457, 0.015168698712476905, 0.017404942975734833]",0.9838441084338239,89.73489084253542,0.0178786333039686,08cbcb4555bd6df102e797b7c9d65460be0db21562fd33c6db4785c972d2901e
p81-all-n1024-160x100,81,-1,Composite,,spins,Sphere + disk + cone,896,3,1024,160,100,6,"[0, 1000003, 2000006, 3000009, 4000012, 5000015]",0.38962113313519936,398.97204033044414,392.1747112689208,0.9829628937007878,0.9264975393700777,1.023642716535433,1006.5540031496067,0.018009346415221398,0.00017215096420552668,0.01775781250914912,0.01827188903629488,"[0.02611868138802889, 0.015597708280284372, 0.018019858588186465]",1.0073111355342683,89.73489084253542,0.0178786333039686,08cbcb4555bd6df102e797b7c9d65460be0db21562fd33c6db4785c972d2901e
p81-all-n1024-160x100,81,-1,Composite,,uv-sphere,UV + sphere,136,2,1024,160,100,6,"[0, 1000003, 2000006, 3000009, 4000012, 5000015]",1.6157422945887756,1654.5201096589062,1397.4448136124988,0.8446224409448818,0.7956497047244094,0.8729038385826782,864.893379527559,0.01793544947248438,0.0005020365807622413,0.01724373056489779,0.01879633076550756,"[0.0262219568011477, 0.015480495596741702, 0.017853338030065592]",1.0031778809682934,89.73489084253542,0.0178786333039686,08cbcb4555bd6df102e797b7c9d65460be0db21562fd33c6db4785c972d2901e
p81-all-n1024-160x100,81,-1,Composite,,six,All six,3976,6,1024,160,100,6,"[0, 1000003, 2000006, 3000009, 4000012, 5000015]",0.07475348072434564,76.54756426172993,151.04404558011785,1.9732051181102381,1.9565787401574795,2.187139173228345,2020.5620409448838,0.017979949285210375,9.544368422453085e-05,0.01789079115839952,0.018106414311711484,"[0.02615706588427176, 0.015546014978949382, 0.01801173359099132]",1.0056668750636149,89.73489084253542,0.0178786333039686,08cbcb4555bd6df102e797b7c9d65460be0db21562fd33c6db4785c972d2901e
p82-all-n1024-160x100,82,-1,Composite,,uv,UV plane,8,1,1024,160,100,6,"[0, 1000003, 2000006, 3000009, 4000012, 5000015]",33.878842141450455,34691.93435284527,37033.45894995753,1.067494783464567,0.9256101377952765,1.1826969488188968,1093.1146582677165,0.01104820194962549,0.0025041767483828074,0.009189280766397167,0.015671038907935916,"[0.014340326676957232, 0.01022696732705238, 0.009489216977791216]",1.024995183624475,322.10766841234596,0.01077878425785188,08cbcb4555bd6df102e797b7c9d65460be0db21562fd33c6db4785c972d2901e
p82-all-n1024-160x100,82,-1,Composite,,spins,Sphere + disk + cone,896,3,1024,160,100,6,"[0, 1000003, 2000006, 3000009, 4000012, 5000015]",0.534673818516119,547.5059901605058,692.6417987827117,1.2650853346456687,1.1080216535433065,1.3156528543307113,1295.4473826771648,0.01030053948318397,0.00030467515284863215,0.010023387966904775,0.010877311163041189,"[0.013278850713968463, 0.009605271809593302, 0.008417803645057639]",0.9556309168801176,322.10766841234596,0.01077878425785188,08cbcb4555bd6df102e797b7c9d65460be0db21562fd33c6db4785c972d2901e
p82-all-n1024-160x100,82,-1,Composite,,uv-sphere,UV + sphere,136,2,1024,160,100,6,"[0, 1000003, 2000006, 3000009, 4000012, 5000015]",10.111640009082882,10354.31936930087,13284.378753495288,1.2829794291338588,1.1886211614173228,1.3352264763779542,1313.7709354330714,0.01129439883432379,0.0018506649450979662,0.00945914326417854,0.014293392389654729,"[0.01387872637560979, 0.01057895138633517, 0.010771683869282782]",1.0478360605553736,322.10766841234596,0.01077878425785188,08cbcb4555bd6df102e797b7c9d65460be0db21562fd33c6db4785c972d2901e
p82-all-n1024-160x100,82,-1,Composite,,six,All six,3976,6,1024,160,100,6,"[0, 1000003, 2000006, 3000009, 4000012, 5000015]",0.08363447027141595,85.64169755792993,244.243677234647,2.8519247539370083,2.5903721456692885,3.157825885826771,2920.3709480314965,0.010471996764274275,8.146764698882545e-05,0.01032017132072952,0.010557992692912962,"[0.013081381255569312, 0.009863638187284354, 0.008814696368344631]",0.9715378389400341,322.10766841234596,0.01077878425785188,08cbcb4555bd6df102e797b7c9d65460be0db21562fd33c6db4785c972d2901e
